ID,Name,Short description,Description
\nTurkey tail mushrooms are a type of medicinal mushroom native to East Asia. They are commonly used in traditional medicine and are thought to have immune-boosting, antiviral, and anti-tumor properties. Some research suggests that turkey tail mushrooms may be helpful in the treatment of various conditions.
\n
\nAll of these mushrooms are decocted (simmered, cooked in our reverse osmosis maple tree water) and then tinctured with organic cane alcohol. This blend is then allowed to macerate for a month or longer before pressing and bottling.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine."

1113,Sweet Fern Cough Syrup 2oz.,"Sweet Fern Cough Syrup
\nAward Winner
\n
\nSweet Fern Cough Syrup is one of our award winning wildcrafted herbal formulas that blends the aromatic qualities of Sweet Fern and Wild Mint with the antispasmodic and expectorant properties of Lobelia. These herbs are extracted with organic cane alcohol and blended into a base of VT Honey, Apple Cider Vinegar, and Maple Syrup. This cough syrup is as delicious as it is effective! Take it straight to help soothe a cough or add to tea for a synergistic effect.
\n
\n<strong>Sweet Fern</strong>
\nSweet Fern, also known as Comptonia peregrina, is a plant native to North America that has been used for centuries by indigenous people for its medicinal properties. The plant is known for its unique aroma and is often used to make tea and other traditional remedies. Sweet Fern contains a variety of chemical compounds that are believed to be responsible for its medicinal properties. One of the most notable compounds found in Sweet Fern is called comptonin, which is a sesquiterpene lactone. Sesquiterpene lactones are a class of compounds that have anti-inflammatory and antioxidant properties. Sweet Fern also contains other compounds such as flavonoids, which are known to have anti-inflammatory and antioxidant effects. Flavonoids also have been found to have anti-cancer effects, and it is believed that they may help to prevent the growth of cancer cells. The plant also contains essential oils, which are volatile compounds that give the plant its characteristic aroma. These oils are believed to have anti-inflammatory and antimicrobial properties, which may help to protect the plant from disease and pests. In addition to these compounds, Sweet Fern also contains a variety of minerals and vitamins, including iron, manganese, and vitamin C. These nutrients are believed to be important for overall health and well-being.
\n
\n<strong>Lobelia cardinalis </strong>
\nLobelia cardinalis, also known as cardinal flower, is a plant native to North America that has been used for centuries by indigenous people for its medicinal properties. The plant is known for its vibrant red flowers and is often used to make traditional remedies. Lobelia cardinalis contains a variety of chemical compounds that are believed to be responsible for its medicinal properties. One of the most notable compounds found in Lobelia cardinalis is called lobeline. Lobeline is an alkaloid, a type of compound that is known to have medicinal properties. It has been traditionally used as a respiratory stimulant and expectorant, to help break up and expel mucus from the lungs. Lobelia cardinalis also contains other compounds such as flavonoids, which are known to have anti-inflammatory and antioxidant effects. Flavonoids also have been found to have anti-cancer effects, and it is believed that they may help to prevent the growth of cancer cells. The plant also contains essential oils which are volatile compounds that give the plant its characteristic aroma. These oils are believed to have anti-inflammatory and antimicrobial properties, which may help to protect the plant from disease and pests. In addition to these compounds, Lobelia cardinalis also contains a variety of minerals and vitamins, including potassium, magnesium and vitamin C. These nutrients are believed to be important for overall health and well-being.
\n
\n<strong>Wild Mint
\n</strong>Mentha canadensis, also known as American Wild Mint, is a perennial herb native to North America. It has been used for centuries by indigenous people for its medicinal properties, and is known for its distinct minty aroma. The essential oil of Mentha canadensis is a rich source of various aromatic compounds, including menthol, menthone, and menthyl acetate. Menthol is the compound responsible for the characteristic minty aroma and cooling sensation of the plant, and it has been traditionally used as a decongestant, to help relieve nasal congestion. Menthol has also been found to have anti-inflammatory and pain-relieving properties. Menthone is another compound found in the essential oil of Mentha canadensis, it has a similar structure to menthol, and it is known to have a minty aroma and soothing properties. Menthyl acetate, is also found in the essential oil of Mentha canadensis, it is known for its minty and fruity aroma. It is used in perfumery and food industry. Mentha canadensis also contains a variety of flavonoids, which are known to have anti-inflammatory and antioxidant effects. Flavonoids also have been found to have anti-cancer effects, and it is believed that they may help to prevent the growth of cancer cells.
\n
\nThese three herbs taken together in a base of Vermont Honey, Apple Cider, Vinegar, and Maple Syrup, are a superb combination for chest congestion, stuffy nose, sore throat, and nagging cough.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Sweet Fern Cough Syrup
\nAward Winner
\n
\nSweet Fern Cough Syrup is one of our award winning wildcrafted herbal formulas that blends the aromatic qualities of Sweet Fern and Wild Mint with the antispasmodic and expectorant properties of Lobelia. These herbs are extracted with organic cane alcohol and blended into a base of VT Honey, Apple Cider Vinegar, and Maple Syrup. This cough syrup is as delicious as it is effective! Take it straight to help soothe a cough or add to tea for a synergistic effect.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine."

1115,Women's Daily Tonic 2oz.,"<p data-start=""2968"" data-end=""3133"">A nourishing blend of shatavari, dong quai, schisandra, raspberry leaf, damiana, and rose to support women’s vitality and balance.</p>","<p data-start=""504"" data-end=""810"">The <strong data-start=""552"" data-end=""588"">Women’s Daily Tonic Tincture 2oz</strong> is a carefully crafted herbal blend designed to support women’s vitality, balance, and resilience. This formula draws on centuries of traditional herbal wisdom, combining adaptogenic, nourishing, and harmonizing plants.</p>
\n<p data-start=""812"" data-end=""1226"">Shatavari, known as the “queen of herbs” in Ayurveda, has been treasured for centuries for its ability to support the female reproductive system. It helps maintain hormonal balance, supports natural fertility, and promotes vitality at all stages of life. Dong quai, often called the “female ginseng,” is used in Traditional Chinese Medicine to support menstrual health, improve circulation, and replenish energy.</p>
\n<p data-start=""1228"" data-end=""1699"">Schisandra berries bring adaptogenic benefits, helping the body respond to stress while supporting healthy liver function and enhancing vitality. Raspberry leaf, a classic women’s herb, gently tones and nourishes the uterus, offering support through all life phases. Damiana adds an uplifting, mood-balancing quality while promoting healthy energy and circulation. Rose petals offer a calming, loving influence for the heart and spirit, bringing emotional balance to the blend.</p>
\n<p data-start=""1701"" data-end=""1948"">Each herb is extracted in a 1:4 ratio to maximize potency and preserve the full spectrum of active constituents. We craft this tincture using a blend of organic cane alcohol, ROM maple water, and organic glycerine for a smooth, palatable flavor.</p>
\n<p data-start=""1950"" data-end=""2060"">Suggested use: Take 1.2ml (¼ teaspoon) one to three times daily in water, tea, or directly under the tongue.</p>
\n<p data-start=""2062"" data-end=""2309"">If you want to connect with any of these herbs as Simples, consider pairing the <strong data-start=""2105"" data-end=""2137"">Women’s Daily Tonic Tincture</strong> with a Simple <strong data-start=""2143"" data-end=""2170""><a class="""" href=""#"" rel=""noopener"" data-start=""2145"" data-end=""2168"">Schisandra Extract</a></strong> for additional adaptogenic benefits, Simple <strong data-start=""2208"" data-end=""2233""><a class="""" href=""#"" rel=""noopener"" data-start=""2210"" data-end=""2231"">Damiana Tincture</a></strong> for mood and energy, or Simple <strong data-start=""2258"" data-end=""2278""><a class="""" href=""https://rogueherbalist.com/product/wild-rose-tincture-2oz/"" rel=""noopener"" data-start=""2260"" data-end=""2276"">Wild Rose</a></strong> for heart-centered wellness.</p>
\n<p data-start=""2311"" data-end=""2618"">Our <strong data-start=""2315"" data-end=""2347"">Women’s Daily Tonic Tincture</strong> is handcrafted in small batches to ensure quality and freshness, using organic, wildcrafted, and ethically sourced ingredients whenever possible. It is designed to be a gentle yet powerful daily ally for women seeking to feel balanced, energized, and deeply nourished.</p>"

1117,Men’s Daily Tonic Tincture 2oz,"<p data-start=""2897"" data-end=""3070"">Handcrafted herbal blend with wildcrafted saw palmetto, Vermont-grown ashwagandha, organic black maca, he shou wu, nettle root, clove, and balinese long pepper to support men’s vitality.</p>","<p data-start=""551"" data-end=""860"">The <strong data-start=""599"" data-end=""633"">Men’s Daily Tonic Tincture 2oz</strong> is a balanced herbal blend designed to support men’s vitality, stamina, and overall well-being. This formula combines some of the most respected herbs in traditional herbalism, each chosen for its unique role in male health.</p>
\n<p data-start=""862"" data-end=""1616"">This tonic is the ideal everyday supplement for a man in today’s world. The saw palmetto berries were ethically wildcrafted on my father’s Florida property, offering high-quality support for healthy prostate function and urinary balance. Ashwagandha is organically grown in Vermont and helps the body adapt to stress while promoting endurance and balanced energy. We chose an organic black maca variety because black maca is reported to be the most potent of the maca types, supporting libido and physical performance. The nettle root, he shou wu, and clove are organically grown, while the Balinese long pepper is a wildcrafted variety prized for its warming and circulation-supporting qualities. Together, these botanicals create a superb male tonic.</p>
\n<p data-start=""1618"" data-end=""1961"">He shou wu, a treasured herb in Chinese medicine, nourishes the kidneys and supports vitality over time. Nettle root offers benefits for urinary health and hormone balance. Balinese long pepper adds a gentle heat to the blend, promoting circulation and digestive health. Clove provides antioxidant benefits and supports the digestive system.</p>
\n<p data-start=""1963"" data-end=""2174"">Each batch is crafted in small quantities and extracted in 30–40% organic cane alcohol to ensure potency and stability. The addition of ROM maple water.</p>
\n<p data-start=""2176"" data-end=""2280"">Suggested use: Take 1.2ml (¼ teaspoon) one to three times daily in water or directly under the tongue.</p>
\n<p data-start=""2282"" data-end=""2549"">For additional support, consider pairing the <strong data-start=""2327"" data-end=""2357"">Men’s Daily Tonic Tincture</strong> with <strong data-start=""2363"" data-end=""2396""><a class="""" href=""https://rogueherbalist.com/product/hemp-adapt-2oz/"" rel=""noopener"" data-start=""2365"" data-end=""2394"">Hemp Adapt</a></strong> for stress resilience, <strong data-start=""2420"" data-end=""2455""><a class="""" href=""#"" rel=""noopener"" data-start=""2422"" data-end=""2453"">Cordyceps Mushroom Extract</a></strong> for energy and stamina.</p>"

1119,Energy Tonic 2oz.,"Energy Tonic 2oz.
\n<p style=""font-weight: 400;""><i><span style=""font-weight: 400;""><a href=""https://rogueherbalist.com/product/bee-pollen-granules-9-5oz/"">Bee pollen</a>, <a href=""https://rogueherbalist.com/product/chinese-white-ginseng-roots-organic-1oz/"">White Ginseng</a>, Suma root, <a href=""https://rogueherbalist.com/product/jiaogulan-organic-1oz-bag/"">Jiaogulan</a>, and Kola nut</span></i></p>
\n<p style=""font-weight: 400;""><span style=""font-weight: 400;"">“The Original” Rogue Herbalist formula is designed to be nutritive, adaptogenic, and slightly stimulating. Our USA sourced Bee pollen (never from China) and organically grown adaptogens are tonifying and building, with a pinch of Kola nut for a spark. This formula is intended for athlete’s or individuals who have reserves to spare. Do not use if you are sensitive to caffeine, stimulants, or bee products.</span></p>
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Energy Tonic 2oz.
\n<p style=""font-weight: 400;""><i><span style=""font-weight: 400;""><a href=""https://rogueherbalist.com/product/bee-pollen-granules-9-5oz/"">Bee pollen</a>, <a href=""https://rogueherbalist.com/product/chinese-white-ginseng-roots-organic-1oz/"">White Ginseng</a>, Suma root, <a href=""https://rogueherbalist.com/product/jiaogulan-organic-1oz-bag/"">Jiaogulan</a>, and Kola nut</span></i></p>
\n<p style=""font-weight: 400;""><span style=""font-weight: 400;"">“The Original” Rogue Herbalist formula is designed to be nutritive, adaptogenic, and slightly stimulating. Our USA sourced Bee pollen (never from China) and organically grown adaptogens are tonifying and building, with a pinch of Kola nut for a spark. This formula is intended for athlete’s or individuals who have reserves to spare. Do not use if you are sensitive to caffeine, stimulants, or bee products.</span></p>
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine."

1121,Vermont Reishi Dual Extraction 2oz.,"Vermont Reishi Dual Extraction 2oz.
\n
\nReishi is nicknamed ""<a href=""https://www.forbes.com/sites/linhanhcat/2019/04/07/mushroom-of-immortality/?sh=40623f7e1e47"">The Mushroom of Immortality</a>"". Every year we harvest the highest quality Reishi Mushrooms (<em><a href=""https://pubmed.ncbi.nlm.nih.gov/33044769/"">Ganoderma tsugae</a>) </em>from the old growth woods in VT and NH. These mushrooms are delicately sliced and dried before they are decocted in ROM (reverse osmosis maple) water and then blended with organic cane alcohol. The tincture is allowed to macerate for at least one month before pressing in our hydraulic press. This tincture has a wonderful fungal flavor that delivers powerful immune support. If you prefer capsules, try our <a href=""https://rogueherbalist.com/product/reishi-capsules-60ct/"">Reishi Capsules</a>.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Vermont Reishi Dual Extraction 2oz.
\n
\nReishi is nicknamed ""<a href=""https://www.forbes.com/sites/linhanhcat/2019/04/07/mushroom-of-immortality/?sh=40623f7e1e47"">The Mushroom of Immortality</a>"". Every year we harvest the highest quality Reishi Mushrooms (<em><a href=""https://pubmed.ncbi.nlm.nih.gov/33044769/"">Ganoderma tsugae</a>) </em>from the old growth woods in VT and NH. These mushrooms are delicately sliced and dried before they are decocted in ROM (reverse osmosis maple) water and then blended with organic cane alcohol. The tea (decoction) has a lovely flavor with notes of bittersweet cacao. The tincture is allowed to macerate for at least one month before pressing in our hydraulic press. This tincture has a wonderful fungal flavor that delivers powerful immune support. If you prefer capsules, try our <a href=""https://rogueherbalist.com/product/reishi-capsules-60ct/"">Reishi Capsules</a>.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine."

3671,Whole Plant CBD Extract MCT Oil,"We bring you the highest quality Vermont grown CBD oil at an affordable price. This high potency CBD oil delivers 25mg per 1/2mL dose. This hemp extract starts as an ethanol preparation (tincture) and is then refined in a rotary evaporator which allows for a better terpene extraction than supercritical. The concentrate is then blended with MCT oil (medium chain triglycerides) sourced from coconut oil, which is the ideal fat for optimal absorption.
\n
\n<span style=""font-weight: 400;"">Each ½ mL dose contains 25mg CBD.  <strong>Shake Well</strong> before using. Take with a fat containing meal for best absorption. </span>","Whole Plant CBD Extract
\n
\nWe bring you the highest quality Vermont grown CBD oil at an affordable price. This high potency CBD oil delivers 25mg per 1/2mL dose.
\n
\nThis hemp extract starts as an ethanol preparation (tincture) and is then refined in a rotary evaporator which allows for a better terpene extraction than supercritical. The concentrate is then blended with MCT oil (medium chain triglycerides) sourced from coconut oil, which is the ideal fat for optimal absorption.
\n
\n&nbsp;"

3675,Pure Hemp CBD Tincture,"<h4>Vermont Grown Pure Hemp Extract
\nTrue Full Spectrum</h4>
\n<span style=""font-weight: 400;"">This Hemp Extract is a true tincture, made with organic cane alcohol and the highest quality Cannabis grown by our friends at</span> <strong>Vermont Botanical Farm</strong>, a<span style=""font-weight: 400;""> local Vermont company dedicated </span><span style=""font-weight: 400;"">to increasing the health of people, soil and the community through the use of local food systems, sustainable agriculture and cannabis. </span>
\n
\nThis extract is so much more than just ""CBD"". Our true whole plant tincture delivers 10mg CBD, but 30mg of <span style=""text-decoration: underline;"">total</span> Hemp Extract. Hemp Extract means all the various Cannabinoids (but specifically CBD and CBDA) as well as terpenes, flavonoids, chlorophyll, and much more. All of these constituents work together in a synergistic fashion. Take the true tincture challenge and see the difference!
\n
\n<span style=""font-weight: 400;"">This product is a </span><b>true full spectrum</b><span style=""font-weight: 400;""> Cannabis tincture. Contains less than 0.3% THC.</span>
\n<div></div>","<h4>Vermont Grown Pure Hemp Extract
\nTrue Full Spectrum</h4>
\n<span style=""font-weight: 400;"">This Hemp Extract is a true tincture, made with organic cane alcohol and the highest quality Cannabis grown by our friends at</span> <strong>Vermont Botanical Farm</strong>, a <span style=""font-weight: 400;"">local Vermont company dedicated </span><span style=""font-weight: 400;"">to increasing the health of people, soil and the community through the use of local food systems, sustainable agriculture and cannabis. </span>
\n
\nThis extract is so much more than just ""CBD"". Our true whole plant tincture delivers 10mg CBD, but 30mg of <span style=""text-decoration: underline;"">total</span> Hemp Extract. Hemp Extract means all the various Cannabinoids (but specifically CBD and CBDA) as well as terpenes, flavonoids, chlorophyll, and much more. All of these constituents work together in a synergistic fashion. Take the true tincture challenge and see the difference!
\n
\n<span style=""font-weight: 400;"">This product is a </span><b>true full spectrum</b><span style=""font-weight: 400;""> Cannabis tincture. Contains less than 0.3% THC.</span>
\n
\n[embed]https://youtu.be/MSePHMCzE9E[/embed]
\n<div>As a broad-spectrum cannabinoid extract, in addition to cannabidiol (CBD) and more than 80 other cannabinoids in hemp, Rogue Herbalist products may contain a trace amount of the cannabinoid THC, less than .3%. Much like the consumption of poppy seeds may lead to a positive drug test for opioids, the consumption of certain hemp products may lead to a positive drug test for tetrahydrocannabinol (THC). THC is inherently present in trace amounts in hemp plants. The legal limit of THC in hemp is no more than 0.3%. It is important to understand that the underlying science behind the conversion of certain cannabinoids to other related cannabinoids when consumed is not yet fully understood. If you are a person who is subject to drug testing we strongly suggest consulting your health care provider before consuming any hemp products because individual biochemistry, the potential for the conversion of cannabinoids, and the possibility of trace, but legal, amounts of THC inherent in hemp products are all factors to consider.</div>
\n<div></div>"

3677,Hemp Adapt 2oz.,"Hemp Adapt is a handcrafted Vermont tincture with hemp extract, adaptogens, and nervines to promote balance, resilience, and calm focus.","<p data-start=""699"" data-end=""1080"">A beloved favorite of many, <strong>Hemp Adapt by Rogue Herbalist</strong> is a carefully crafted artisanal tincture designed to support your body’s natural ability to adapt to stress, restore balance, and promote calm focus. This unique formula blends <strong data-start=""911"" data-end=""941"">full-spectrum hemp extract</strong> (20mg per 1ml) with <strong data-start=""962"" data-end=""989"">time-honored adaptogens</strong> and nervine herbs, creating a daily tonic that works in harmony with your mind and body.</p>
\n<p data-start=""1082"" data-end=""1519"">The hemp extract in this tincture offers a broad range of naturally occurring cannabinoids, enhancing your body’s endocannabinoid system to help regulate mood, sleep, and stress response. To this base, we add <strong data-start=""1291"" data-end=""1306"">Ashwagandha</strong>, an adaptogenic root long revered for promoting steady energy and reducing the effects of stress. <strong data-start=""1405"" data-end=""1424"">Reishi mushroom</strong> further enhances the adaptogenic profile, supporting immune health while calming the spirit.</p>
\n<p data-start=""1521"" data-end=""1819"">For mental ease and emotional grounding, <strong data-start=""1562"" data-end=""1574"">Skullcap</strong> gently soothes the nervous system, while <strong data-start=""1616"" data-end=""1638"">Tulsi (Holy Basil)</strong> uplifts mood and supports clarity. Together, these botanicals create a formula that is both grounding and invigorating, helping you meet life’s demands with resilience and grace.</p>
\n<p data-start=""1821"" data-end=""2075"">We craft <strong data-start=""1830"" data-end=""1844"">Hemp Adapt</strong> in small batches, using <strong data-start=""1869"" data-end=""1888"">ROM maple water</strong> and <strong data-start=""1893"" data-end=""1917"">organic cane alcohol</strong> to preserve the full potency of each herb. Every bottle is made with care in Vermont, ensuring the highest quality from raw ingredient to finished product.</p>
\n<p data-start=""2077"" data-end=""2270"">For a complementary daily herbal approach, try pairing <strong data-start=""2132"" data-end=""2146"">Hemp Adapt</strong> with our <a class="""" href=""https://rogueherbalist.com/product/schisandra-berry-tincture-2oz/"" rel=""noopener"" data-start=""2156"" data-end=""2181"">Schisandra Tincture</a> for deeper adaptogenic support or our <a class="""" href=""https://rogueherbalist.com/product/reishi-mushroom-dual-extract-powder-161-2/"" rel=""noopener"" data-start=""2220"" data-end=""2248"">Reishi Mushroom Powder Extract</a> for immune balance.</p>
\n<p data-start=""2272"" data-end=""2363""><strong data-start=""2272"" data-end=""2290"">Suggested Use:</strong> Take ~45 drops (1ml) daily or as directed by your herbal practitioner.</p>
\n
\n<div><span style=""color: #999999;"">As a broad-spectrum cannabinoid extract, in addition to cannabidiol (CBD) and more than 80 other cannabinoids in hemp, Rogue Herbalist products may contain a trace amount of the cannabinoid THC, less than .3%. Much like the consumption of poppy seeds may lead to a positive <span class=""il"">drug</span> <span class=""il"">test</span> for opioids, the consumption of certain hemp products may lead to a positive <span class=""il"">drug</span> <span class=""il"">test</span> for tetrahydrocannabinol (THC). THC is inherently present in trace amounts in hemp plants. The legal limit of THC in hemp is no more than 0.3%. It’s important to understand that the underlying science behind the conversion of certain cannabinoids to other related cannabinoids when consumed is not yet fully understood. If you are a person who is subject to <span class=""il"">drug</span> <span class=""il"">testing</span> we strongly suggest consulting your health care provider before consuming any hemp products because individual biochemistry, the potential for the conversion of cannabinoids, and the possibility of trace, but legal, amounts of THC inherent in hemp products are all factors to consider.</span></div>"

3678,Hemp Bitters 2oz.,"A handcrafted tincture blending hemp extract, CBD, and aromatic digestive herbs for balanced daily wellness and gut support.","<p data-start=""635"" data-end=""1119"">Hemp Bitters by Rogue Herbalist is a handcrafted tincture that blends premium hemp extract with a thoughtful selection of digestive-support herbs. This formula delivers <strong data-start=""804"" data-end=""828"">15mg of hemp extract</strong> and <strong data-start=""833"" data-end=""855"">5mg of CBD per 1ml</strong>, combined with the aromatic and balancing properties of angelica root, anise hyssop, chamomile, meadowsweet, and dandelion root. Each batch is made in Vermont using organic cane alcohol and our signature ROM maple water, creating a rich, complex herbal profile.</p>
\n<p data-start=""1121"" data-end=""1651"">Bitters have long been used to awaken digestion, stimulate appetite, and help the body better process nutrients. The hemp extract in Hemp Bitters adds a unique, grounding quality that complements the traditional herbal blend. Angelica root supports healthy digestion and circulation. Anise hyssop offers a naturally sweet, minty lift. Chamomile brings a calming effect to the stomach and mind. Meadowsweet helps maintain a balanced digestive environment. Dandelion root supports gentle liver function and overall detoxification.</p>
\n<p data-start=""1653"" data-end=""1905"">This artisanal formula can be taken before meals to prepare the digestive system or enjoyed after eating for a soothing finish. Hemp Bitters can also be added to sparkling water or herbal tea for a functional beverage that blends flavor with purpose.</p>
\n<p data-start=""1907"" data-end=""2138"">Hemp Bitters by Rogue Herbalist is made in small batches to ensure freshness and potency. Our herbal ingredients are either organically grown or ethically wildcrafted, and every bottle reflects our commitment to quality and care.</p>
\n<p data-start=""2140"" data-end=""2338"">For additional herbal digestive support, you may enjoy our <a class="""" href=""https://rogueherbalist.com/product/enhanced-super-digestive-enzymes-probiotics-60-caps/"" rel=""noopener"" data-start=""2199"" data-end=""2227"">Enhanced Probiotic</a> or <a class="""" href=""https://rogueherbalist.com/product/ginger-tincture-2oz/"" rel=""noopener"" data-start=""2231"" data-end=""2255"">Ginger Tincture 2oz</a>. For relaxation and stress balance, consider <a class="""" href=""https://rogueherbalist.com/product/hemp-adapt-by-rogue-herbalist/"" rel=""noopener"" data-start=""2301"" data-end=""2335"">Hemp Adapt by Rogue Herbalist</a>.</p>
\n
\n<div>As a broad-spectrum cannabinoid extract, in addition to cannabidiol (CBD) and more than 80 other cannabinoids in hemp, Rogue Herbalist products may contain a trace amount of the cannabinoid THC, less than .3%. Much like the consumption of poppy seeds may lead to a positive <span class=""il"">drug</span> <span class=""il"">test</span> for opioids, the consumption of certain hemp products may lead to a positive <span class=""il"">drug</span> <span class=""il"">test</span> for tetrahydrocannabinol (THC). THC is inherently present in trace amounts in hemp plants. The legal limit of THC in hemp is no more than 0.3%. It’s important to understand that the underlying science behind the conversion of certain cannabinoids to other related cannabinoids when consumed is not yet fully understood. If you are a person who is subject to <span class=""il"">drug</span> <span class=""il"">testing</span> we strongly suggest consulting your health care provider before consuming any hemp products because individual biochemistry, the potential for the conversion of cannabinoids, and the possibility of trace, but legal, amounts of THC inherent in hemp products are all factors to consider.</div>
\n<span style=""font-weight: 400;""> </span>"

3679,Hemp Nervine 2oz.,"<b>Hemp Nervine 2oz.
\n</b><i>Hemp, California Poppy, Lemon Balm, </i><i><span style=""font-weight: 400;"">Milky Oats, St. John’s Wort</span></i>
\n
\n<span style=""font-weight: 400;"">This formula is part Hemp, part Nervine, 100% Vermont Grown Goodness! We blend Vermont Grown Pure Hemp Extract with Foster Farm Botanicals Vermont Grown organic herbs for a supplement unlike any other you have experienced. This formula is ideal for those with nerve pain, neuralgia, or someone looking for restful sleep.</span>
\n
\nAs a broad-spectrum cannabinoid extract, in addition to cannabidiol (CBD) and more than 80 other cannabinoids in hemp, Rogue Herbalist products may contain a trace amount of the cannabinoid THC, less than .3%. Much like the consumption of poppy seeds may lead to a positive drug test for opioids, the consumption of certain hemp products may lead to a positive drug test for tetrahydrocannabinol (THC). THC is inherently present in trace amounts in hemp plants. The legal limit of THC in hemp is no more than 0.3%. It is important to understand that the underlying science behind the conversion of certain cannabinoids to other related cannabinoids when consumed is not yet fully understood. If you are a person who is subject to drug testing we strongly suggest consulting your health care provider before consuming any hemp products because individual biochemistry, the potential for the conversion of cannabinoids, and the possibility of trace, but legal, amounts of THC inherent in hemp products are all factors to consider.","<i><span style=""font-weight: 400;"">Hemp, California Poppy, Lemon Balm, </span></i><i><span style=""font-weight: 400;"">Milky Oats, St. John’s Wort</span></i>
\n
\n<span style=""font-weight: 400;"">This formula is part Hemp, part Nervine, 100% Vermont Grown Goodness! We blend Vermont Grown Pure Hemp Extract with Foster Farm Botanicals Vermont Grown organic herbs for a supplement unlike any other you have experienced. This formula is ideal for those with nerve pain, neuralgia, or someone looking for restful sleep.</span>
\n
\n&nbsp;
