ID,Name,Short description,Description,Slug
4842,Foster Farm Echinacea Tincture 2oz.,"Foster Farm Echinacea Tincture 2oz.
\n<em>Echinacea purpurea</em>
\n
\nOrganically grown by Foster Farm Botanicals, this Echinacea is tinctured in organic cane alcohol (45-55%), distilled water, and a hint of organic maple syrup. Echinacea is a time tested remedy that is used to bolster immune function, particularly during the cold months. Most people take it in frequent doses at the first sign of cold. Take 1ml in a little water, juice or tea, up to 3 times per day.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.
\n
\n&nbsp;","Foster Farm Echinacea Tincture 2oz.
\n<em>Echinacea purpurea</em>
\n
\nOrganically grown by Foster Farm Botanicals, this Echinacea is tinctured in organic cane alcohol (45-55%), distilled water, and a hint of organic maple syrup. Echinacea is a time tested remedy that is used to bolster immune function, particularly during the cold months. Most people take it in frequent doses at the first sign of cold. Take 1ml in a little water, juice or tea, up to 3 times per day.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",foster-farm-echinacea-tincture-2oz
4845,Foster Farm Skullcap Tincture 2oz.,"Foster Farm Skullcap Tincture 2oz.
\n<em>Scutellaria lateriflora</em>
\n
\nThis Skullcap is tinctured in organic cane alcohol (45-55%) with distilled water and organic maple syrup. It is organically grown by <a href=""https://fosterfarmbotanicals.com/"">Foster Farm Botanicals</a> and is a wonderful plant for anyone who deals with anxiety, stress, nervousness, and more. One of my favorite herbs to recommend because it is so effective but also incredibly safe. Take 1ml in a little water, juice or tea, up to 3 times per day. Also consider <a href=""https://rogueherbalist.com/product/skullcap-tincture-1oz/"">Skullcap 1oz.</a> bottle or <a href=""https://rogueherbalist.com/product/skullcap-herb-vermont-grown-organic-1oz-bag/"">Skullcap tea</a>.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Foster Farm Skullcap Tincture 2oz.
\n<em>Scutellaria lateriflora</em>
\n
\nThis Skullcap is tinctured in organic cane alcohol (45-55%) with distilled water and organic maple syrup. It is organically grown by <a href=""https://fosterfarmbotanicals.com/"">Foster Farm Botanicals</a> and is a wonderful plant for anyone who deals with anxiety, stress, nervousness, and more. One of my favorite herbs to recommend because it is so effective but also incredibly safe. Take 1ml in a little water, juice or tea, up to 3 times per day. Also consider <a href=""https://rogueherbalist.com/product/skullcap-tincture-1oz/"">Skullcap 1oz.</a> bottle or <a href=""https://rogueherbalist.com/product/skullcap-herb-vermont-grown-organic-1oz-bag/"">Skullcap tea</a>.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",foster-farm-skullcap-tincture-2oz
4848,Foster Farm Tulsi Tincture 2oz.,"Foster Farm Tulsi Tincture 2oz.
\n<em>Ocimum sanctum</em>
\n
\nOrganically grown by Foster Farm Botanicals, this Tulsi is tinctured in organic cane alcohol (45-55%), distilled water, and a hint of organic maple syrup. Tulsi is revered in India and considered to be adaptogenic. Many people take Tulsi for it's broad anti-inflammatory effect but it also has significant calming and stress relieving properties. It's delicious too! Take 1ml in a little water, juice or tea, up to 3 times per day.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Foster Farm Tulsi Tincture 2oz.
\n<em>Ocimum sanctum</em>
\n
\nOrganically grown by Foster Farm Botanicals, this Tulsi is tinctured in organic cane alcohol (45-55%), distilled water, and a hint of organic maple syrup. Tulsi is revered in India and considered to be adaptogenic. Many people take Tulsi for it's broad anti-inflammatory effect but it also has significant calming and stress relieving properties. It's delicious too! Take 1ml in a little water, juice or tea, up to 3 times per day.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",foster-farm-tulsi-tincture-2oz
4850,"Lemon Balm, Vermont Grown Organic, 1oz. bag","Lemon Balm, Vermont Grown Organic, 1oz. bag
\n<em>Melissa officinalis</em>
\n
\nOur Lemon Balm is organically grown by Foster Farm Botanicals in East Calais, Vermont and it is the highest quality, most delicious Lemon Balm we have ever tasted. The herb is considered sour, spicy, and cool. The properties of Lemon Balm are diaphoretic, calmative, antispasmodic, carminative, emmenagogue, and stomachic. It is also know for having antiviral properties, being used in topical preparations for Herpes simplex virus. It is the perfect remedy to help break a fever, an ideal children's remedy, for stomach problems as well as calming the nerves and helping fall asleep.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Lemon Balm, Vermont Grown Organic, 1oz. bag
\n<em>Melissa officinalis</em>
\n
\nOur Lemon Balm is organically grown by Foster Farm Botanicals in East Calais, Vermont and it is the highest quality, most delicious Lemon Balm we have ever tasted. The herb is considered sour, spicy, and cool. The properties of Lemon Balm are diaphoretic, calmative, antispasmodic, carminative, emmenagogue, and stomachic. It is also know for having antiviral properties, being used in topical preparations for Herpes simplex virus. It is the perfect remedy to help break a fever, an ideal children's remedy, for stomach problems as well as calming the nerves and helping fall asleep.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",lemon-balm-vermont-grown-organic-1oz-bag
4852,"Linden Leaf & Flower, Organic, 1oz. bag","Linden Leaf &amp; Flower, Organic, 1oz. bag
\n<em>Tilia europaea</em>
\n
\nLinden is a lovely herb that has a long history of use as a nervine and calming tonic. Somewhat similar to Chamomile, this herb has been traditionally used for colds, influenza, <a href=""https://wa.kaiserpermanente.org/kbase/topic.jhtml?docId=hn-2124007#:~:text=Linden%20flowers%20act%20as%20a,way%20of%20lowering%20its%20temperature."">fevers</a>, headaches, and general stress. Try Linden as a tea with <a href=""https://rogueherbalist.com/product/flower-power-herbal-honey-6oz/"">Flower Power Honey</a>!
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Linden Leaf &amp; Flower, Organic, 1oz. bag
\n<em>Tilia europaea</em>
\n
\nLinden is a lovely herb that has a long history of use as a nervine and calming tonic. Somewhat similar to Chamomile, this herb has been traditionally used for colds, influenza, <a href=""https://wa.kaiserpermanente.org/kbase/topic.jhtml?docId=hn-2124007#:~:text=Linden%20flowers%20act%20as%20a,way%20of%20lowering%20its%20temperature."">fevers</a>, headaches, and general stress. It is a calming, soothing herb that has slightly moistening properties. Try Linden as a tea with <a href=""https://rogueherbalist.com/product/flower-power-herbal-honey-6oz/"">Flower Power Honey</a>!
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",linden-leaf-flower-organic-1oz-bag
4854,"Marshmallow Root, Organic, 1oz.","Marshmallow Root, Organic
\n<em>Althaea officinalis </em>
\n
\nMarshmallow root is considered to be demulcent, nutritive, alterative, diuretic, and vulnerary. It is a superb source of mucilage which makes it ideal for healing mucus membranes internally and externally. It is also helpful with kidney and bladder concerns. Also try our <a href=""https://rogueherbalist.com/product/marshmallow-root-tincture-1oz/"">Marshmallow Root Tincture</a>.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Marshmallow Root, Organic
\n<em>Althaea officinalis </em>
\n
\nMarshmallow root is considered to be demulcent, nutritive, alterative, diuretic, and vulnerary. It is a superb source of mucilage which makes it ideal for healing mucus membranes internally and externally. It is also helpful with kidney and bladder concerns. Also try our <a href=""https://rogueherbalist.com/product/marshmallow-root-tincture-1oz/"">Marshmallow Root Tincture</a>.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",marshmallow-root-organic-1oz
4856,"Meadowsweet, Vermont Grown Organic, 1oz. bag","Meadowsweet, Vermont Grown Organic, 1oz. bag
\n<em>Filipendula ulmaria</em>
\n
\nOrganically grown by Foster Farm Botanicals in East Calais, Vermont, this Meadowsweet is the original source of aspirin, as it is a source of salicylic acid. Besides being an herbal anti-inflammatory, Meadowsweet is one of the best herbs for healing the gut. It is one of the key herbs in our <a href=""https://rogueherbalist.com/product/hemp-bitters-2oz/"">Hemp Bitters</a>.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Meadowsweet, Vermont Grown Organic, 1oz. bag
\n<em>Filipendula ulmaria</em>
\n
\nOrganically grown by Foster Farm Botanicals in East Calais, Vermont, this Meadowsweet is the original source of aspirin, as it is a source of salicylic acid. Besides being an herbal anti-inflammatory, Meadowsweet is one of the best herbs for healing the gut. It is one of the key herbs in our <a href=""https://rogueherbalist.com/product/hemp-bitters-2oz/"">Hemp Bitters</a>.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",meadowsweet-vermont-grown-organic-1oz-bag
4858,"Milk Thistle Leaf, Organic, 1oz. bag","Milk Thistle Leaf, Organic, 1oz. bag
\n<em>Silybum marianum</em>
\n
\nWhile Milk Thistle seed is best taken as an extract, the leaf makes for a wonderful bitter tea that helps assist with liver congestion, stomach problems, heartburn, and general blood purification. Blends nicely in a tea with other bitter herbs and warming spices like fennel, cardamom, and others.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",,milk-thistle-leaf-organic-1oz-bag
4860,"Milky Oats, Organic, 1oz. bag","Milky Oats, Vermont Grown Organic, 1oz. bag
\n<em>Avena sativa</em>
\n
\nOats are a wonderful food but many people do not realize they also make for a nourishing infusion. The dried milky oat is a tonic food for the nerves which has more effect the longer you are taking it. By itself as a tea or blended with other herbs, this plant is one of our cherished allies. We also have a <a href=""https://rogueherbalist.com/product/milky-oats-tincture-2oz/"">tincture of fresh Milky Oats</a>.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Milky Oats, Organic, 1oz. bag
\n<em>Avena sativa</em>
\n
\nOats are a wonderful food but many people do not realize they also make for a nourishing infusion. The dried milky oat is a tonic food for the nerves which has more effect the longer you are taking it. By itself as a tea or blended with other herbs, this plant is one of our cherished allies. We also have a <a href=""https://rogueherbalist.com/product/milky-oats-tincture-2oz/"">tincture of fresh Milky Oats</a>.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",milky-oats-organic-1oz-bag
4862,"Moringa, Organic, 1oz. bag","Moringa Leaf, Organic, 1oz. bag
\n<em>Moringa oleifera</em>
\n
\nAlso known as Drumstick Tree, this herb is a super nutritious vegetable tree that grows close to the equator. According to studies, Moringa leaf has (gram for gram) twice as much protein as yogurt, 4 times the Vitamin A as carrots, 3 times the Potassium as bananas, 4 times the calcium of milk, 7 times the <a href=""https://rogueherbalist.com/product/vitamin-c-24-hour-liposomal-hydrogel-formula-60-tablets/"">vitamin C</a> of oranges. Because of its high nutrient profile Moringa is being grown through the third world as a counter measure to starvation. It helps young mothers produce nutritious breastmilk for babies. Truly it is a superfood.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Moringa Leaf, Organic, 1oz. bag
\n<em>Moringa oleifera</em>
\n
\nAlso known as Drumstick Tree, this herb is a super nutritious vegetable tree that grows close to the equator. According to studies, Moringa leaf has (gram for gram) twice as much protein as yogurt, 4 times the Vitamin A as carrots, 3 times the Potassium as bananas, 4 times the calcium of milk, 7 times the <a href=""https://rogueherbalist.com/product/vitamin-c-24-hour-liposomal-hydrogel-formula-60-tablets/"">vitamin C</a> of oranges. Because of its high nutrient profile Moringa is being grown through the third world as a counter measure to starvation. It helps young mothers produce nutritious breastmilk for babies. Truly it is a superfood.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",moringa-organic-1oz-bag
4868,Passion Flower Tincture 1oz.,"Passionflower Tincture 1oz.
\n
\nPassionflower is a beautiful nervine that relaxes the nerves and helps relieve general stress and anxiety. Although it is a very mild and safe remedy, Passionflower may interact with MAOI drugs and other drugs that are sedative or used for depression, anxiety, etc. Take 30 drops (1ml) in water or juice, 1 – 3 times daily, or as needed. We also carry <a href=""https://rogueherbalist.com/product/passionflower-organic-1oz-bag/"">Passionflower herb</a> in bulk.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Passionflower Tincture 1oz.
\n
\nPassionflower is a beautiful nervine that relaxes the nerves and helps relieve general stress and anxiety. Although it is a very mild and safe remedy, Passionflower may interact with MAOI drugs and other drugs that are sedative or used for depression, anxiety, etc. Take 30 drops (1ml) in water or juice, 1 – 3 times daily, or as needed. We also carry <a href=""https://rogueherbalist.com/product/passionflower-organic-1oz-bag/"">Passionflower herb</a> in bulk.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",passion-flower-tincture-1oz
4875,Sage Essential Oil 1oz.,"Sage Essential Oil 1oz.
\n
\nSage is the wonderful kitchen spice that invigorates your senses and stimulates your mind. The aroma is fresh, herbaceous, sweet, and camphoraceous. The properties of this oil are enhancing, strengthening, and soothing. Goes well in a hair rinse.
\n
\nEssential oils are not made for internal consumption.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Sage Essential Oil 1oz.
\n
\nSage is the wonderful kitchen spice that invigorates your senses and stimulates your mind. The aroma is fresh, herbaceous, sweet, and camphoraceous. The properties of this oil are enhancing, strengthening, and soothing. Goes well in a hair rinse.
\n
\nEssential oils are not made for internal consumption.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",sage-essential-oil-1oz
4883,"Licorice Root, Organic, 1oz. bag","Licorice Root, Organic, 1oz. bag
\n<em>Glycyrrhiza glabra</em>
\n
\nLicorice is the perennial sweet herb that you either love it or hate it. In my mind, there are far more reasons to love this amazing plant. The Chinese consider Licorice to be a harmonizer, meaning it aids in the assimilation and absorption of the rest of the herbal formula. It is adaptogenic and anti-inflammatory, as well as carminative. We also offer <a href=""https://rogueherbalist.com/product/licorice-tincture-1oz/"">Licorice Tincture</a>.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Licorice Root, Organic, 1oz. bag
\n<em>Glycyrrhiza glabra</em>
\n
\nLicorice is the perennial sweet herb that you either love it or hate it. In my mind, there are far more reasons to love this amazing plant. The Chinese consider Licorice to be a harmonizer, meaning it aids in the assimilation and absorption of the rest of the herbal formula. It is adaptogenic and anti-inflammatory, as well as carminative. We also offer <a href=""https://rogueherbalist.com/product/licorice-tincture-1oz/"">Licorice Tincture</a>.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",licorice-root-organic-1oz-bag
4935,King Solomon’s Hemp Salve by Rogue Herbalist – 2 fl oz,"King Solomon’s Hemp Salve combines Solomon’s Seal, CBD-rich hemp, and frankincense for powerful topical relief. Ideal for joints, muscles, tendons, and ligaments.","<p data-start=""524"" data-end=""953"">King Solomon’s Hemp Salve by Rogue Herbalist is a handcrafted, small-batch topical designed to support the body’s natural healing process. Made with <strong data-start=""716"" data-end=""734"">Solomon’s Seal</strong>, high-CBD hemp flower, organic virgin coconut oil, frankincense essential oil, organic unrefined jojoba oil, and local Vermont beeswax, this formula brings the power of traditional herbal wisdom into modern wellness.</p>
\n<p data-start=""955"" data-end=""1440"">Solomon’s Seal is revered for its ability to support connective tissue health, ease musculoskeletal discomfort, and aid in recovery from injuries. When paired with CBD-rich hemp flower and Frankincense, it creates a synergistic blend that works deep into the tissues, offering targeted relief for joints, tendons, ligaments, muscles, and bones. The frankincense essential oil adds a warm, soothing aroma while providing its own time-honored benefits for reducing discomfort and promoting circulation.</p>
\n<p data-start=""1442"" data-end=""1772"">We craft our hemp salve using carefully sourced ingredients, ensuring that every jar offers purity, potency, and consistency. As a broad-spectrum hemp extract, this salve contains CBD along with more than 80 other beneficial cannabinoids. By law, hemp products contain less than 0.3% THC, but trace amounts may still be present.</p>
\n<p data-start=""1774"" data-end=""1964"">Apply topically to areas of chronic or acute discomfort. Whether you’re managing everyday muscle tension or recovering from overuse, <strong data-start=""1907"" data-end=""1936"">King Solomon’s Hemp Salve</strong> is a trusted herbal ally.</p>
\n<p data-start=""1966"" data-end=""2184"">For additional musculoskeletal support, explore our tinctures, which you can ingest for a whole body, systemic anti-inflammatory and healing experience. <a class="""" href=""https://rogueherbalist.com/product/boswellia-liquid-extract-2-oz/"" rel=""noopener"" data-start=""2010"" data-end=""2041"">Frankincense Liquid Extract</a> is a powerful anti-inflammatory ally and ingesting <a class="""" href=""https://rogueherbalist.com/product/solomons-seal-tincture-2oz/"" rel=""noopener"" data-start=""2124"" data-end=""2152"">Solomon’s Seal Tincture</a> can help to create an internal and topical combined approach.</p>
\n<p data-start=""2186"" data-end=""2314"">Experience the deep, soothing relief of this thoughtfully formulated salve — rooted in herbal tradition, made for modern life.</p>",king-solomons-hemp-salve-by-rogue-herbalist-2-fl-oz
4960,Solomon's Seal Tincture 2oz.,"Solomon's Seal Tincture 2oz.
\n<em>Polygonatum biflorum </em>
\n
\nThis wildcrafted Solomon's Seal Tincture is truly a remarkable remedy for the muscular and skeletal system. I have personally used it to heal my injured back and given it to many clients with success. According to Matthew Wood: ""It is suited to a wide range of problems affecting the joints, ligaments, tendons, and muscles. It tightens or loosens tendons and attachments (depending on which is needed), strengthens and repairs joint damage, soothes...many kinds of arthritis in the joints, and works nicely with repetitive-injury problems such as tennis elbow, jogger's knee, and carpal-tunnel syndrome""(The Practice of Traditional Western Herbalism pp. 191).
\n
\nTake 1 - 3 dropperful daily with a little water.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Solomon's Seal Tincture 2oz.
\n<em>Polygonatum biflorum </em>
\n
\nThis wildcrafted Solomon's Seal Tincture is truly a remarkable remedy for the muscular and skeletal system. I have personally used it to heal my injured back and given it to many clients with success. According to Matthew Wood: ""It is suited to a wide range of problems affecting the joints, ligaments, tendons, and muscles. It tightens or loosens tendons and attachments (depending on which is needed), strengthens and repairs joint damage, soothes...many kinds of arthritis in the joints, and works nicely with repetitive-injury problems such as tennis elbow, jogger's knee, and carpal-tunnel syndrome""(The Practice of Traditional Western Herbalism pp. 191).
\n
\nTake 1 - 3 dropperful daily with a little water.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",solomons-seal-tincture-2oz
4978,"Anise Seed, Organic, 1oz. bag","Anise Seed, Organic, 1oz. bag
\nPimpinella anisum
\n
\nSweet tasting Anise is similar to Licorice in flavor and a wonderful carminative for digestion, gas, and bloating. It is considered to be very valuable for breaking up mucus and is used for dry coughs. It is also a useful galactagogue for promoting the production of mother's milk. It is a wonderful addition to any tea as it provides a delicious flavor and wonderful effect.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",,anise-seed-organic-1oz-bag
4990,"Stinging Nettles herb, Vermont Grown Organic, 1oz. bag","Stinging Nettles herb, Vermont Grown Organic, 1oz. bag
\n<em>Urtica dioica</em>
\n
\nStinging Nettles is considered to be alterative (blood cleansing), diuretic, nutritive, and all around amazing mineral rich herb with numerous beneficial properties. Many people use it for seasonal allergies and respiratory support as well.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.
\n
\n&nbsp;","Stinging Nettles herb, Vermont Grown Organic, 1oz. bag
\n<em>Urtica dioica</em>
\n
\nStinging Nettles is considered to be alterative (blood cleansing), diuretic, nutritive, and all around amazing mineral rich herb with numerous beneficial properties. Many people use it for seasonal allergies and respiratory support as well.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.
\n
\n&nbsp;",stinging-nettles-herb-vermont-grown-organic-1oz-bag
4992,"Nigella Seed, Organic 1oz. bag","Nigella Seed, Organic 1oz. bag
\n<em>Nigella sativa</em>
\n
\nNigella Seed, also known as Black Seed or Black Cumin, is a powerful source of the phytochemical thymoquinone. This herb is a carminative (helps dispel gas &amp; bloating) as well as a strong supporter of a healthy immune system. It is warm and dry and a circulatory stimulant. Similar to Fennel and other carminative seeds, this herb is also a galactogogue (helps produce mother's milk). It is often claimed that the Prophet Muhammad (Peace be Upon Him) himself declared “Black seed oil to be the greatest medicine of them all. He also said, Black Cumin heals every disease except for death”. While we would never make such a claim, it is interesting that this herb has been revered for so many hundreds of years.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",,nigella-seed-organic-1oz-bag
4997,"Pau D'Arco Bark, Organic, 1oz. bag","Pau D'Arco Bark, Organic, 1oz. bag
\n<em>Tabebuia impetiginosa</em>
\n
\nPau D'Arco is a remarkable herb from South America. According to <em>The Way of Herbs:</em> ""Traditional properties include: Alterative, Antifungal, Hypotensive, Antidiabetic, Bitter tonic, digestive, antibacterial, antitumor."" It has a pleasant taste and combines well with other digestive herbs.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Pau D'Arco Bark, Organic, 1oz. bag
\n<em>Tabebuia impetiginosa</em>
\n
\nPau D'Arco is a remarkable herb from South America. According to <em>The Way of Herbs:</em> ""Traditional properties include: Alterative, Antifungal, Hypotensive, Antidiabetic, Bitter tonic, digestive, antibacterial, antitumor."" It has a pleasant taste and combines well with other digestive herbs.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",pau-darco-bark-organic-1oz-bag
5000,"Peppermint Leaf, Organic, 1oz. bag","Peppermint Leaf, Organic, 1oz. bag
\n<em>Mentha piperita</em>
\n
\nDelightful peppermint is a cooling, refreshing herb that makes a wonderful tea, hot or cold. The aromatic qualities of this herb make it ideal for respiratory or digestive complaints.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Peppermint Leaf, Organic, 1oz. bag
\n<em>Mentha piperita</em>
\n
\nDelightful peppermint is a cooling, refreshing herb that makes a wonderful tea, hot or cold. The aromatic qualities of this herb make it ideal for respiratory or digestive complaints.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",peppermint-leaf-organic-1oz-bag
5002,"Red Clover Blossoms & Herb, Organic, 1oz. bag","Red Clover Herb, Organic, 1oz. bag
\n<em>Trifolium pratense</em>
\n
\nRed Clover is the VT state flower and for good reason. This cover crop is highly nutritious and has traditionally been used as an Alterative, Antispasmodic, Expectorant, and Antitumorigenic. Due to its isoflavone (phytoestrogenic) content it is often found in formulas that support hormonal balance in menopausal women. The alterative factor makes this herb a good choice for clearing the skin in cases of eczema, acne, psoriasis, and other skin eruptions.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.","Red Clover Blossom &amp; Herb,  Organic, 1oz. bag
\n<em>Trifolium pratense
\n</em>Organically grown by Free Verse Farm in Chelsea, Vermont<em>
\n</em>
\n
\nRed Clover is the VT state flower and for good reason. This cover crop is highly nutritious and has traditionally been used as an Alterative, Antispasmodic, Expectorant, and Antitumorigenic. Due to its isoflavone (phytoestrogenic) content it is often found in formulas that support hormonal balance in menopausal women. The alterative factor makes this herb a good choice for clearing the skin in cases of eczema, acne, psoriasis, and other skin eruptions.
\n
\nSold in 1oz. quantities. If you want multiple ounces, just add multiple quantities.
\n
\nThese statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Consult your herbalist or healthcare provider before introducing any herbs or supplements into your routine.",red-clover-blossoms-herb-organic-1oz-bag
